RNTRD Rent (weekly) Ranges,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial income stated,All incomes not stated,Not applicable,Total,Suburb
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Braidwood
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Braidwood
Not stated,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,15, Braidwood
Not applicable,8,20,18,29,49,104,59,105,113,110,129,77,67,146,76,93,44,23,73,40,26,10,83,42,963,2518, Braidwood
Total,8,20,18,33,54,117,80,125,138,132,142,103,89,187,87,107,56,26,80,43,26,9,95,45,963,2778, Braidwood
$1-$74,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10, Karabar
$75-$99,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12, Karabar
$100-$124,0,0,0,9,12,21,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58, Karabar
$125-$149,0,0,0,0,3,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21, Karabar
$150-$174,3,0,0,0,3,3,7,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37, Karabar
$175-$199,0,0,0,0,0,7,7,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39, Karabar
$200-$224,0,0,0,0,5,9,9,7,8,6,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,56, Karabar
$225-$249,0,0,0,0,0,4,5,4,3,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,35, Karabar
$250-$274,0,4,0,0,3,4,8,7,8,5,6,4,0,0,0,0,0,0,0,0,0,0,3,0,0,59, Karabar
$275-$299,0,0,0,0,0,0,0,3,8,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,22, Karabar
$300-$324,0,0,0,0,3,0,0,0,4,6,5,7,3,0,5,4,0,0,0,0,0,0,0,4,0,45, Karabar
$325-$349,0,0,0,0,0,0,4,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,4,0,0,27, Karabar
$350-$374,0,0,0,0,0,0,3,3,3,7,6,4,0,9,6,0,0,0,0,0,0,0,5,0,0,54, Karabar
$375-$399,0,0,0,0,0,0,0,3,0,4,4,4,0,4,5,3,0,0,0,0,0,0,0,0,0,30, Karabar
$400-$424,0,0,0,0,0,0,0,0,0,3,11,9,12,8,8,5,0,0,0,0,0,0,4,0,0,65, Karabar
$425-$449,0,0,0,0,0,0,0,0,4,0,6,4,0,11,3,0,0,0,0,0,0,0,4,0,0,35, Karabar
